id,time,temp,sex,wbc,rbc,hgb,hct,spun,mcv,mch,mchc,plts,grp_ord
F2,0 Hour,Ref,Female,6.3,5.82,13.9,41.4,41,71.2,23.9,33.6,713,0 Hour
F3,0 Hour,Ref,Female,3.8,5.74,12.5,38.5,38,67.1,21.8,32.5,889,6 Hour
F4,0 Hour,Ref,Female,5.2,6.2,13.7,42.3,41,68.3,22.1,32.4,1122,24 Hour
F5,0 Hour,Ref,Female,6.1,5.83,13.4,40.7,40.5,69.8,23,32.9,952,48 Hour
F6,0 Hour,Ref,Female,5.6,5.52,13.2,39.3,40,71.2,23.9,33.6,941,72 Hour
F7,0 Hour,Ref,Female,5.9,6.12,14.2,41.8,41.5,68.3,23.2,34,839,
F8,0 Hour,Ref,Female,4.6,5.96,13.6,40.4,40,67.8,22.8,33.7,843,
F9,0 Hour,Ref,Female,3.4,5.88,13.3,39.5,38,67.2,22.6,33.7,910,
F10,0 Hour,Ref,Female,9.8,6.74,15.3,44.3,44.5,65.7,22.7,34.5,1627,
F11,0 Hour,Ref,Female,6.1,5.83,13.1,40.4,41,69.3,22.5,32.4,1106,
F12,0 Hour,Ref,Female,3.3,5.27,12.8,37.2,38,70.5,24.3,34.4,1050,
M1,0 Hour,Ref,Male,5.4,5.98,12.3,37.9,39.5,63.3,20.6,32.5,746,
M2,0 Hour,Ref,Male,7.4,6.54,13.8,43.7,42,66.8,21.1,31.6,876,
M4,0 Hour,Ref,Male,6.3,6.7,13.4,40.7,41,60.7,20,32.9,877,
M5,0 Hour,Ref,Male,7.8,6.18,13.2,39.1,40,63.3,21.4,33.8,851,
M6,0 Hour,Ref,Male,6.6,5.61,12.2,36,38,64.1,21.7,33.9,790,
M7,0 Hour,Ref,Male,8.3,6,11.9,37.9,39,63.2,19.8,31.4,503,
M8,0 Hour,Ref,Male,8.8,6.09,12.7,39.6,40,65.1,20.9,32.1,1270,
M9,0 Hour,Ref,Male,4.1,6.53,13.2,41.1,41,63,20.2,32.1,1060,
M10,0 Hour,Ref,Male,9.2,5.64,12.7,38,40,67.3,22.5,33.4,1039,
M11,0 Hour,Ref,Male,8.1,6.34,12.8,38.7,42,61.1,20.2,33.1,1190,
M12,0 Hour,Ref,Male,8.1,6.61,14.1,41.4,43,62.7,21.3,34.1,1137,
